abbr;time;tre200h0
REH;201001010000;3.2
REH;201001010100;3.4
REH;201001010200;3.3
REH;201001010300;3.5
REH;201001010400;3.3
REH;201001010500;3.2
REH;201001010600;3.0
REH;201001010700;2.5
REH;201001010800;2.3
REH;201001010900;2.5
REH;201001011000;2.5
REH;201001011100;2.9
REH;201001011200;3.4
REH;201001011300;3.7
REH;201001011400;4.0
REH;201001011500;4.1
REH;201001011600;4.2
REH;201001011700;3.3
REH;201001011800;2.3
REH;201001011900;1.3
REH;201001012000;1.0
REH;201001012100;1.0
REH;201001012200;0.7
REH;201001012300;0.0
REH;201001020000;-0.2
REH;201001020100;-0.5
REH;201001020200;-0.8
REH;201001020300;-0.8
REH;201001020400;-1.0
REH;201001020500;-1.1
REH;201001020600;-1.3
REH;201001020700;-1.7
REH;201001020800;-1.8
REH;201001020900;-1.3
REH;201001021000;-1.3
REH;201001021100;-1.0
REH;201001021200;-0.8
REH;201001021300;-0.7
REH;201001021400;-0.5
REH;201001021500;-1.0
REH;201001021600;-2.0
REH;201001021700;-2.6
REH;201001021800;-2.8
REH;201001021900;-4.0
REH;201001022000;-4.8
REH;201001022100;-5.1
REH;201001022200;-5.2
REH;201001022300;-5.7
REH;201001030000;-6.3
REH;201001030100;-6.3
REH;201001030200;-6.5
REH;201001030300;-7.0
REH;201001030400;-7.1
REH;201001030500;-7.4
REH;201001030600;-7.4
REH;201001030700;-7.7
REH;201001030800;-6.7
REH;201001030900;-4.4
REH;201001031000;-2.6
REH;201001031100;-1.9
REH;201001031200;-1.1
REH;201001031300;-0.6
REH;201001031400;-0.4
REH;201001031500;-1.2
REH;201001031600;-2.6
REH;201001031700;-3.5
REH;201001031800;-4.5
REH;201001031900;-5.1
REH;201001032000;-5.7
REH;201001032100;-6.6
REH;201001032200;-7.0
REH;201001032300;-7.7
REH;201001040000;-8.0
REH;201001040100;-8.5
REH;201001040200;-8.5
REH;201001040300;-8.9
REH;201001040400;-9.3
REH;201001040500;-9.2
REH;201001040600;-8.6
REH;201001040700;-8.7
REH;201001040800;-8.1
REH;201001040900;-7.5
REH;201001041000;-6.6
REH;201001041100;-5.5
REH;201001041200;-4.3
REH;201001041300;-3.3
REH;201001041400;-2.9
REH;201001041500;-2.9
REH;201001041600;-4.3
REH;201001041700;-5.5
REH;201001041800;-6.2
REH;201001041900;-6.5
REH;201001042000;-7.1
REH;201001042100;-6.8
REH;201001042200;-7.3
REH;201001042300;-7.4
REH;201001050000;-7.8
REH;201001050100;-7.9
REH;201001050200;-6.9
REH;201001050300;-6.7
REH;201001050400;-6.7
REH;201001050500;-6.6
REH;201001050600;-6.5
REH;201001050700;-6.5
REH;201001050800;-6.2
REH;201001050900;-5.7
REH;201001051000;-5.3
REH;201001051100;-5.0
REH;201001051200;-4.8
REH;201001051300;-4.7
REH;201001051400;-4.5
REH;201001051500;-4.3
REH;201001051600;-4.3
REH;201001051700;-4.4
REH;201001051800;-4.8
REH;201001051900;-5.0
REH;201001052000;-5.0
REH;201001052100;-4.9
REH;201001052200;-4.8
REH;201001052300;-4.8
REH;201001060000;-4.8
REH;201001060100;-4.7
REH;201001060200;-4.9
REH;201001060300;-4.8
REH;201001060400;-4.8
REH;201001060500;-4.8
REH;201001060600;-4.8
REH;201001060700;-3.8
REH;201001060800;-3.2
REH;201001060900;-3.0
REH;201001061000;-2.6
REH;201001061100;-2.6
REH;201001061200;-2.6
REH;201001061300;-2.4
REH;201001061400;-2.2
REH;201001061500;-2.0
REH;201001061600;-2.0
REH;201001061700;-2.3
REH;201001061800;-2.9
REH;201001061900;-2.8
REH;201001062000;-3.6
REH;201001062100;-4.2
REH;201001062200;-3.4
REH;201001062300;-2.9
REH;201001070000;-2.9
REH;201001070100;-3.0
REH;201001070200;-3.0
REH;201001070300;-3.1
REH;201001070400;-3.7
REH;201001070500;-3.6
REH;201001070600;-3.3
REH;201001070700;-3.8
REH;201001070800;-3.7
REH;201001070900;-2.5
REH;201001071000;-1.9
REH;201001071100;-1.5
REH;201001071200;-0.8
REH;201001071300;-0.4
REH;201001071400;0.0
REH;201001071500;-0.2
REH;201001071600;-1.1
REH;201001071700;-1.1
REH;201001071800;-1.6
REH;201001071900;-1.9
REH;201001072000;-2.4
REH;201001072100;-2.7
REH;201001072200;-2.9
REH;201001072300;-2.7
REH;201001080000;-2.1
REH;201001080100;-2.1
REH;201001080200;-1.9
REH;201001080300;-2.0
REH;201001080400;-2.3
REH;201001080500;-2.4
REH;201001080600;-2.1
REH;201001080700;-1.8
REH;201001080800;-1.9
REH;201001080900;-2.1
REH;201001081000;-2.0
REH;201001081100;-1.9
REH;201001081200;-1.8
REH;201001081300;-1.7
REH;201001081400;-1.8
REH;201001081500;-1.9
REH;201001081600;-2.0
REH;201001081700;-2.1
REH;201001081800;-2.2
REH;201001081900;-2.5
REH;201001082000;-2.8
REH;201001082100;-2.9
REH;201001082200;-3.0
REH;201001082300;-3.3
REH;201001090000;-3.6
REH;201001090100;-3.7
REH;201001090200;-3.8
REH;201001090300;-3.9
REH;201001090400;-4.2
REH;201001090500;-4.3
REH;201001090600;-4.6
REH;201001090700;-4.6
REH;201001090800;-4.7
REH;201001090900;-4.7
REH;201001091000;-4.4
REH;201001091100;-4.3
REH;201001091200;-4.1
REH;201001091300;-4.2
REH;201001091400;-4.3
REH;201001091500;-4.4
REH;201001091600;-4.6
REH;201001091700;-4.7
REH;201001091800;-4.7
REH;201001091900;-4.8
REH;201001092000;-4.9
REH;201001092100;-4.9
REH;201001092200;-4.9
REH;201001092300;-4.9
REH;201001100000;-5.2
REH;201001100100;-5.0
REH;201001100200;-5.0
REH;201001100300;-4.9
REH;201001100400;-4.8
REH;201001100500;-4.9
REH;201001100600;-5.0
REH;201001100700;-5.4
REH;201001100800;-4.8
REH;201001100900;-4.3
REH;201001101000;-4.0
REH;201001101100;-3.7
REH;201001101200;-3.6
REH;201001101300;-3.6
REH;201001101400;-3.6
REH;201001101500;-3.7
REH;201001101600;-3.7
REH;201001101700;-3.8
REH;201001101800;-4.0
REH;201001101900;-4.1
REH;201001102000;-4.7
REH;201001102100;-4.7
REH;201001102200;-4.7
REH;201001102300;-6.0
REH;201001110000;-6.9
REH;201001110100;-7.7
REH;201001110200;-6.9
REH;201001110300;-6.1
REH;201001110400;-5.7
REH;201001110500;-5.4
REH;201001110600;-4.8
REH;201001110700;-4.8
REH;201001110800;-4.7
REH;201001110900;-4.2
REH;201001111000;-3.5
REH;201001111100;-2.8
REH;201001111200;-2.9
REH;201001111300;-2.8
REH;201001111400;-2.9
REH;201001111500;-3.3
REH;201001111600;-3.8
REH;201001111700;-3.9
REH;201001111800;-3.9
REH;201001111900;-4.0
REH;201001112000;-3.6
REH;201001112100;-3.8
REH;201001112200;-3.8
REH;201001112300;-3.7
REH;201001120000;-3.8
REH;201001120100;-3.9
REH;201001120200;-3.9
REH;201001120300;-4.0
REH;201001120400;-4.0
REH;201001120500;-3.8
REH;201001120600;-3.7
REH;201001120700;-4.0
REH;201001120800;-4.4
REH;201001120900;-3.1
REH;201001121000;-2.6
REH;201001121100;-2.2
REH;201001121200;-2.1
REH;201001121300;-1.8
REH;201001121400;-1.9
REH;201001121500;-1.8
REH;201001121600;-2.1
REH;201001121700;-2.2
REH;201001121800;-2.0
REH;201001121900;-2.0
REH;201001122000;-1.9
REH;201001122100;-2.0
REH;201001122200;-2.3
REH;201001122300;-2.9
REH;201001130000;-2.7
REH;201001130100;-2.3
REH;201001130200;-2.5
REH;201001130300;-2.6
REH;201001130400;-2.8
REH;201001130500;-2.8
REH;201001130600;-2.8
REH;201001130700;-2.8
REH;201001130800;-2.6
REH;201001130900;-2.3
REH;201001131000;-1.8
REH;201001131100;-1.0
REH;201001131200;-0.5
REH;201001131300;-0.1
REH;201001131400;0.5
REH;201001131500;0.9
REH;201001131600;1.1
REH;201001131700;1.5
REH;201001131800;1.5
REH;201001131900;1.3
REH;201001132000;1.1
REH;201001132100;1.3
REH;201001132200;1.5
REH;201001132300;1.6
REH;201001140000;1.3
REH;201001140100;0.8
REH;201001140200;-0.1
REH;201001140300;-0.3
REH;201001140400;0.1
REH;201001140500;0.4
REH;201001140600;0.8
REH;201001140700;0.6
REH;201001140800;0.9
REH;201001140900;1.2
REH;201001141000;1.6
REH;201001141100;1.8
REH;201001141200;1.8
REH;201001141300;1.9
REH;201001141400;2.0
REH;201001141500;1.6
REH;201001141600;1.4
REH;201001141700;1.3
REH;201001141800;1.3
REH;201001141900;1.2
REH;201001142000;0.8
REH;201001142100;0.4
REH;201001142200;0.2
REH;201001142300;0.2
REH;201001150000;0.0
REH;201001150100;0.0
REH;201001150200;-0.2
REH;201001150300;-0.1
REH;201001150400;-0.2
REH;201001150500;-0.2
REH;201001150600;-0.2
REH;201001150700;0.0
REH;201001150800;0.5
REH;201001150900;1.3
REH;201001151000;1.7
REH;201001151100;1.8
REH;201001151200;2.1
REH;201001151300;2.0
REH;201001151400;2.0
REH;201001151500;2.0
REH;201001151600;1.7
REH;201001151700;1.5
REH;201001151800;1.6
REH;201001151900;1.5
REH;201001152000;1.4
REH;201001152100;1.2
REH;201001152200;1.1
REH;201001152300;0.8
REH;201001160000;0.7
REH;201001160100;0.7
REH;201001160200;0.6
REH;201001160300;0.5
REH;201001160400;0.1
REH;201001160500;0.0
REH;201001160600;-0.3
REH;201001160700;-0.6
REH;201001160800;-0.7
REH;201001160900;-0.6
REH;201001161000;-0.5
REH;201001161100;-0.3
REH;201001161200;-0.2
REH;201001161300;-0.2
REH;201001161400;-0.1
REH;201001161500;0.0
REH;201001161600;-0.1
REH;201001161700;-0.5
REH;201001161800;-0.8
REH;201001161900;-0.7
REH;201001162000;0.5
REH;201001162100;1.7
REH;201001162200;2.3
REH;201001162300;3.0
REH;201001170000;3.3
REH;201001170100;3.2
REH;201001170200;3.3
REH;201001170300;3.2
REH;201001170400;3.4
REH;201001170500;4.0
REH;201001170600;4.3
REH;201001170700;4.3
REH;201001170800;4.6
REH;201001170900;5.3
REH;201001171000;5.9
REH;201001171100;6.6
REH;201001171200;6.2
REH;201001171300;5.9
REH;201001171400;6.3
REH;201001171500;5.5
REH;201001171600;4.6
REH;201001171700;4.7
REH;201001171800;4.5
REH;201001171900;4.4
REH;201001172000;4.6
REH;201001172100;3.9
REH;201001172200;2.4
REH;201001172300;2.4
REH;201001180000;1.8
REH;201001180100;1.5
REH;201001180200;1.3
REH;201001180300;1.3
REH;201001180400;1.0
REH;201001180500;0.8
REH;201001180600;0.9
REH;201001180700;0.8
REH;201001180800;1.4
REH;201001180900;1.7
REH;201001181000;3.5
REH;201001181100;4.5
REH;201001181200;5.1
REH;201001181300;5.2
REH;201001181400;5.2
REH;201001181500;4.9
REH;201001181600;2.7
REH;201001181700;0.9
REH;201001181800;-0.2
REH;201001181900;-0.2
REH;201001182000;-0.6
REH;201001182100;-0.4
REH;201001182200;-1.2
REH;201001182300;-1.8
REH;201001190000;-2.0
REH;201001190100;-2.6
REH;201001190200;-2.1
REH;201001190300;-2.0
REH;201001190400;-2.1
REH;201001190500;-2.3
REH;201001190600;-2.5
REH;201001190700;-2.5
REH;201001190800;-2.8
REH;201001190900;-2.7
REH;201001191000;-2.4
REH;201001191100;-1.7
REH;201001191200;-1.3
REH;201001191300;-1.3
REH;201001191400;-1.3
REH;201001191500;-1.5
REH;201001191600;-1.6
REH;201001191700;-1.7
REH;201001191800;-1.8
REH;201001191900;-2.1
REH;201001192000;-2.2
REH;201001192100;-2.4
REH;201001192200;-2.5
REH;201001192300;-2.5
REH;201001200000;-2.4
REH;201001200100;-2.3
REH;201001200200;-2.6
REH;201001200300;-2.9
REH;201001200400;-3.0
REH;201001200500;-3.1
REH;201001200600;-2.9
REH;201001200700;-2.9
REH;201001200800;-2.9
REH;201001200900;-3.0
REH;201001201000;-2.9
REH;201001201100;-2.6
REH;201001201200;-2.5
REH;201001201300;-2.2
REH;201001201400;-1.5
REH;201001201500;-1.4
REH;201001201600;-1.5
REH;201001201700;-1.6
REH;201001201800;-1.7
REH;201001201900;-1.8
REH;201001202000;-2.0
REH;201001202100;-1.5
REH;201001202200;-0.6
REH;201001202300;-0.3
REH;201001210000;0.2
REH;201001210100;-0.2
